name,rating,date,text
yasmika putri,1,2 bulan lalu,"Panas, banyak karang dan sampah. Pempers bayi pun ada, kok aneh banget ya"
Supri Yono,5,2 bulan lalu,Tempat nya sangat bagus cocok untuk sekeluarga
Supri Yono,5,2 bulan lalu,Tempat nya sangat bagus cocok untuk sekeluarga
Riyan Thama,5,2 bulan lalu,"Pantai nya keren ada hotel bintang 5 deket Pantai
Semoga bisa menjadi destinasi wisata internasional"
Riyan Thama,5,2 bulan lalu,"Pantai nya keren ada hotel bintang 5 deket Pantai
Semoga bisa menjadi destinasi wisata internasional"
Erna aja,1,2 bulan lalu,Pengelolaanya Buruk tiketnyapun mahal tempat nya pun jorok serba bayar
Erna aja,1,2 bulan lalu,Pengelolaanya Buruk tiketnyapun mahal tempat nya pun jorok serba bayar
Sunni Purnomo,1,2 bulan lalu,Jelek tidak direkomendasikan
Sunni Purnomo,1,2 bulan lalu,Jelek tidak direkomendasikan
Mama Kencana Kencini,4,2 bulan lalu,"Buat yg minimalis masalah keuangan tetep butuh air yang asin asin, bisa dikondisikan untuk pilih mutun yang belok ke yg kiri, recommended buat kaum mendang mending"
Mama Kencana Kencini,4,2 bulan lalu,"Buat yg minimalis masalah keuangan tetep butuh air yang asin asin, bisa dikondisikan untuk pilih mutun yang belok ke yg kiri, recommended buat kaum mendang mending"
Dimas Uyee,5,2 bulan lalu,bagus bangett
Dimas Uyee,5,2 bulan lalu,bagus bangett
selvi salupiyah,5,2 bulan lalu,
selvi salupiyah,5,2 bulan lalu,
Nicky Hartati,5,2 bulan lalu,
Nicky Hartati,5,2 bulan lalu,
Are Susanto,2,2 bulan lalu,"Pantainya bagus, sayang dipenuhi prahu2 bersandar buat nyebrang jadi gak leluasa buat maen anak2, penyebrangan kategori mahal 200k, nyebrang gak sampe 5 menit perjalanan"
Are Susanto,2,2 bulan lalu,"Pantainya bagus, sayang dipenuhi prahu2 bersandar buat nyebrang jadi gak leluasa buat maen anak2, penyebrangan kategori mahal 200k, nyebrang gak sampe 5 menit perjalanan"
Deas Andrean,5,2 bulan lalu,
Deas Andrean,5,2 bulan lalu,
oktavia dewi,4,2 bulan lalu,Update terbaru pantai mutun 18.12.2025 bersih ada dermaga saksi bisu dan cocok untuk anak-anak main air karna ombaknya gak besar tapi minusnya kamar mandi airnya nyalanya kecil bgtt
oktavia dewi,4,2 bulan lalu,Update terbaru pantai mutun 18.12.2025 bersih ada dermaga saksi bisu dan cocok untuk anak-anak main air karna ombaknya gak besar tapi minusnya kamar mandi airnya nyalanya kecil bgtt
Haryadi Atlas,5,2 bulan lalu,Pantai mutun bandar lampung top 👍 …
Haryadi Atlas,5,2 bulan lalu,Pantai mutun bandar lampung top 👍 …
Abdul Latif SR,3,2 bulan lalu,Ke mutun 2 harus bayar juga di gerbang mutun 1
Abdul Latif SR,3,2 bulan lalu,Ke mutun 2 harus bayar juga di gerbang mutun 1
Luthfi Riadina,2,2 bulan lalu,Mahal. Dikit2 bayar
Luthfi Riadina,2,2 bulan lalu,Mahal. Dikit2 bayar
Agim BroxY,5,2 bulan lalu,
Agim BroxY,5,2 bulan lalu,
Fauzia Ningsih,5,2 bulan lalu,
Fauzia Ningsih,5,2 bulan lalu,
Siti Aisyah,5,2 bulan lalu,"Pantai nya bagus,tempat wisata dan para angler para pemancing bnyak seru,!!!"
Siti Aisyah,5,2 bulan lalu,"Pantai nya bagus,tempat wisata dan para angler para pemancing bnyak seru,!!!"
Angga Sanjaya42,5,3 bulan lalu,
Angga Sanjaya42,5,3 bulan lalu,
arrakasta 1410,4,3 bulan lalu,salah satu tempat wisata bagus di Lampung
arrakasta 1410,4,3 bulan lalu,salah satu tempat wisata bagus di Lampung
Sutariyah,5,3 bulan lalu,pantainya enak untuk berenang anak2 serta lansia
Sutariyah,5,3 bulan lalu,pantainya enak untuk berenang anak2 serta lansia
Pinkan Salsabila,4,Diedit 3 bulan lalu,"Baguss,bersihh"
Pinkan Salsabila,4,Diedit 3 bulan lalu,"Baguss,bersihh"
